RUN	SmokeTest.getCreditDetails	getcreditdetails	1570466522090	 	3.0.2
USER	SmokeTest	1	START	1570466525399	1570466525399
USER	SmokeTest	2	START	1570466525769	1570466525769
USER	SmokeTest	3	START	1570466526094	1570466526094
REQUEST	1		SmokeTest	1570466525449	1570466529485	OK	 
REQUEST	2		SmokeTest	1570466525773	1570466529516	OK	 
USER	SmokeTest	2	END	1570466525769	1570466529529
USER	SmokeTest	4	START	1570466529530	1570466529530
USER	SmokeTest	1	END	1570466525399	1570466529529
USER	SmokeTest	5	START	1570466529531	1570466529531
REQUEST	3		SmokeTest	1570466526096	1570466529597	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	3	END	1570466526094	1570466529603
USER	SmokeTest	6	START	1570466529604	1570466529604
REQUEST	5		SmokeTest	1570466529532	1570466532881	OK	 
USER	SmokeTest	5	END	1570466529531	1570466532883
USER	SmokeTest	7	START	1570466532884	1570466532884
REQUEST	4		SmokeTest	1570466529531	1570466532888	OK	 
REQUEST	6		SmokeTest	1570466529605	1570466532889	OK	 
USER	SmokeTest	6	END	1570466529604	1570466532891
USER	SmokeTest	8	START	1570466532891	1570466532891
USER	SmokeTest	4	END	1570466529530	1570466532891
USER	SmokeTest	9	START	1570466532892	1570466532892
REQUEST	8		SmokeTest	1570466532892	1570466535880	OK	 
USER	SmokeTest	8	END	1570466532891	1570466535884
USER	SmokeTest	10	START	1570466535885	1570466535885
REQUEST	7		SmokeTest	1570466532885	1570466535892	OK	 
USER	SmokeTest	7	END	1570466532884	1570466535895
USER	SmokeTest	11	START	1570466535896	1570466535896
REQUEST	9		SmokeTest	1570466532893	1570466535896	OK	 
USER	SmokeTest	9	END	1570466532892	1570466535899
USER	SmokeTest	12	START	1570466535900	1570466535900
REQUEST	11		SmokeTest	1570466535898	1570466538592	OK	 
USER	SmokeTest	11	END	1570466535896	1570466538595
USER	SmokeTest	13	START	1570466538596	1570466538596
REQUEST	12		SmokeTest	1570466535901	1570466538782	OK	 
USER	SmokeTest	12	END	1570466535900	1570466538786
USER	SmokeTest	14	START	1570466538787	1570466538787
