RUN	SmokeTest.CrearCredito	crearcredito	1570467339395	 	3.0.2
REQUEST	26		SmokeTest	1570467404271	1570467407378	OK	 
REQUEST	25		SmokeTest	1570467403269	1570467407526	OK	 
USER	SmokeTest	25	END	1570467399968	1570467407527
USER	SmokeTest	28	START	1570467407528	1570467407528
REQUEST	27		SmokeTest	1570467406369	1570467409392	OK	 
REQUEST	28		SmokeTest	1570467407529	1570467411166	OK	 
REQUEST	26		SmokeTest	1570467407381	1570467412174	OK	 
USER	SmokeTest	26	END	1570467404270	1570467412176
USER	SmokeTest	29	START	1570467412176	1570467412176
REQUEST	27		SmokeTest	1570467409396	1570467414467	OK	 
USER	SmokeTest	27	END	1570467406368	1570467414468
USER	SmokeTest	30	START	1570467414468	1570467414468
REQUEST	29		SmokeTest	1570467412177	1570467415467	KO	jsonPath($.data.token.value).find.exists, found nothing
ERROR	SmokeTest: Failed to build request: No attribute named 'value' is defined 	1570467415469
USER	SmokeTest	29	END	1570467412176	1570467415476
USER	SmokeTest	31	START	1570467415476	1570467415476
REQUEST	28		SmokeTest	1570467411168	1570467415538	OK	 
USER	SmokeTest	28	END	1570467407528	1570467415539
USER	SmokeTest	32	START	1570467415539	1570467415539
REQUEST	30		SmokeTest	1570467414469	1570467416487	OK	 
REQUEST	31		SmokeTest	1570467415477	1570467418773	OK	 
REQUEST	32		SmokeTest	1570467415540	1570467419001	OK	 
REQUEST	30		SmokeTest	1570467416489	1570467421467	OK	 
USER	SmokeTest	30	END	1570467414468	1570467421470
USER	SmokeTest	33	START	1570467421470	1570467421470
REQUEST	31		SmokeTest	1570467418777	1570467423671	OK	 
USER	SmokeTest	31	END	1570467415476	1570467423673
USER	SmokeTest	34	START	1570467423674	1570467423674
REQUEST	32		SmokeTest	1570467419003	1570467423787	OK	 
USER	SmokeTest	32	END	1570467415539	1570467423788
USER	SmokeTest	35	START	1570467423789	1570467423789
REQUEST	33		SmokeTest	1570467421472	1570467424381	OK	 
REQUEST	34		SmokeTest	1570467423675	1570467427072	OK	 
REQUEST	35		SmokeTest	1570467423790	1570467427175	OK	 
REQUEST	33		SmokeTest	1570467424383	1570467429703	OK	 
USER	SmokeTest	33	END	1570467421470	1570467429705
USER	SmokeTest	36	START	1570467429705	1570467429705
REQUEST	35		SmokeTest	1570467427177	1570467431667	OK	 
USER	SmokeTest	35	END	1570467423789	1570467431669
USER	SmokeTest	37	START	1570467431669	1570467431669
REQUEST	34		SmokeTest	1570467427074	1570467431717	OK	 
USER	SmokeTest	34	END	1570467423674	1570467431719
USER	SmokeTest	38	START	1570467431719	1570467431719
REQUEST	36		SmokeTest	1570467429706	1570467432370	OK	 
REQUEST	38		SmokeTest	1570467431720	1570467434685	OK	 
REQUEST	37		SmokeTest	1570467431670	1570467434866	OK	 
REQUEST	36		SmokeTest	1570467432372	1570467437425	OK	 
USER	SmokeTest	36	END	1570467429705	1570467437427
USER	SmokeTest	39	START	1570467437427	1570467437427
REQUEST	38		SmokeTest	1570467434689	1570467437514	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	38	END	1570467431719	1570467437517
USER	SmokeTest	40	START	1570467437517	1570467437517
REQUEST	37		SmokeTest	1570467434869	1570467437521	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
