RUN	SmokeTest.getCreditDetails	getcreditdetails	1570467023496	 	3.0.2
USER	SmokeTest	36	END	1570467050980	1570467052799
USER	SmokeTest	39	START	1570467052800	1570467052800
REQUEST	37		SmokeTest	1570467051684	1570467053784	OK	 
USER	SmokeTest	37	END	1570467051683	1570467053786
USER	SmokeTest	40	START	1570467053787	1570467053787
REQUEST	38		SmokeTest	1570467052192	1570467054371	OK	 
USER	SmokeTest	38	END	1570467052190	1570467054373
USER	SmokeTest	41	START	1570467054373	1570467054373
REQUEST	39		SmokeTest	1570467052802	1570467054886	OK	 
USER	SmokeTest	39	END	1570467052800	1570467054889
USER	SmokeTest	42	START	1570467054889	1570467054889
REQUEST	40		SmokeTest	1570467053788	1570467055619	OK	 
USER	SmokeTest	40	END	1570467053787	1570467055623
USER	SmokeTest	43	START	1570467055623	1570467055623
REQUEST	41		SmokeTest	1570467054374	1570467056385	OK	 
USER	SmokeTest	41	END	1570467054373	1570467056388
USER	SmokeTest	44	START	1570467056388	1570467056388
REQUEST	42		SmokeTest	1570467054890	1570467056997	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	42	END	1570467054889	1570467056999
USER	SmokeTest	45	START	1570467057000	1570467057000
REQUEST	43		SmokeTest	1570467055625	1570467057577	OK	 
USER	SmokeTest	43	END	1570467055623	1570467057584
USER	SmokeTest	46	START	1570467057585	1570467057585
REQUEST	44		SmokeTest	1570467056390	1570467058481	OK	 
USER	SmokeTest	44	END	1570467056388	1570467058484
USER	SmokeTest	47	START	1570467058484	1570467058484
REQUEST	45		SmokeTest	1570467057000	1570467059074	OK	 
USER	SmokeTest	45	END	1570467057000	1570467059077
USER	SmokeTest	48	START	1570467059077	1570467059077
REQUEST	46		SmokeTest	1570467057586	1570467059606	OK	 
USER	SmokeTest	46	END	1570467057585	1570467059609
USER	SmokeTest	49	START	1570467059609	1570467059609
REQUEST	47		SmokeTest	1570467058486	1570467060383	OK	 
USER	SmokeTest	47	END	1570467058484	1570467060386
