RUN	SmokeTest.getCreditDetails	getcreditdetails	1570467023496	 	3.0.2
USER	SmokeTest	162	START	1570467143390	1570467143390
REQUEST	160		SmokeTest	1570467142110	1570467144479	OK	 
REQUEST	161		SmokeTest	1570467142692	1570467144479	OK	 
USER	SmokeTest	161	END	1570467142691	1570467144481
USER	SmokeTest	163	START	1570467144481	1570467144481
USER	SmokeTest	160	END	1570467142109	1570467144481
USER	SmokeTest	164	START	1570467144482	1570467144482
REQUEST	162		SmokeTest	1570467143391	1570467145504	OK	 
USER	SmokeTest	162	END	1570467143390	1570467145505
USER	SmokeTest	165	START	1570467145505	1570467145505
