RUN	SmokeTest.payCredit	paycredit	1570478456284	 	3.0.2
USER	SmokeTest	36	END	1570478484450	1570478485903
USER	SmokeTest	39	START	1570478485903	1570478485903
REQUEST	37		SmokeTest	1570478485000	1570478486561	OK	 
USER	SmokeTest	37	END	1570478484998	1570478486564
USER	SmokeTest	40	START	1570478486565	1570478486565
REQUEST	38		SmokeTest	1570478485845	1570478486844	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	38	END	1570478485844	1570478486846
USER	SmokeTest	41	START	1570478486847	1570478486847
REQUEST	39		SmokeTest	1570478485904	1570478486932	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	39	END	1570478485903	1570478486934
USER	SmokeTest	42	START	1570478486934	1570478486934
REQUEST	40		SmokeTest	1570478486567	1570478487879	OK	 
USER	SmokeTest	40	END	1570478486565	1570478487883
USER	SmokeTest	43	START	1570478487883	1570478487883
REQUEST	41		SmokeTest	1570478486847	1570478488301	OK	 
USER	SmokeTest	41	END	1570478486847	1570478488303
USER	SmokeTest	44	START	1570478488303	1570478488303
REQUEST	42		SmokeTest	1570478486935	1570478488425	OK	 
USER	SmokeTest	42	END	1570478486934	1570478488428
USER	SmokeTest	45	START	1570478488428	1570478488428
REQUEST	43		SmokeTest	1570478487885	1570478489023	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	43	END	1570478487883	1570478489025
USER	SmokeTest	46	START	1570478489025	1570478489025
REQUEST	44		SmokeTest	1570478488304	1570478489778	OK	 
USER	SmokeTest	44	END	1570478488303	1570478489780
USER	SmokeTest	47	START	1570478489780	1570478489780
REQUEST	45		SmokeTest	1570478488429	1570478489850	OK	 
USER	SmokeTest	45	END	1570478488428	1570478489851
USER	SmokeTest	48	START	1570478489852	1570478489852
REQUEST	46		SmokeTest	1570478489027	1570478490403	OK	 
USER	SmokeTest	46	END	1570478489025	1570478490405
USER	SmokeTest	49	START	1570478490405	1570478490405
REQUEST	47		SmokeTest	1570478489782	1570478491024	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	47	END	1570478489780	1570478491027
USER	SmokeTest	50	START	1570478491027	1570478491027
REQUEST	48		SmokeTest	1570478489853	1570478491056	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	48	END	1570478489852	1570478491059
USER	SmokeTest	51	START	1570478491059	1570478491059
REQUEST	49		SmokeTest	1570478490407	1570478491800	OK	 
USER	SmokeTest	49	END	1570478490405	1570478491804
USER	SmokeTest	52	START	1570478491805	1570478491805
REQUEST	51		SmokeTest	1570478491061	1570478492535	OK	 
USER	SmokeTest	51	END	1570478491059	1570478492540
USER	SmokeTest	53	START	1570478492541	1570478492541
REQUEST	50		SmokeTest	1570478491028	1570478492550	OK	 
USER	SmokeTest	50	END	1570478491027	1570478492557
USER	SmokeTest	54	START	1570478492558	1570478492558
